"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
12081.6516839679,10289.4280030926,10689.7518784367,12053.2202564827,10642.2216142203,11013.3313032667,10425.289597848,12099.2177935837,10836.2255262584,10147.1863994032,10716.6128462027,9548.65244616285,10325.0524469354,10106.7593191019,9212.12741251691,11880.0030646287,9415.94605044864
12020.1090389009,10245.4253597148,10645.5453776986,12006.1642919819,10601.9766300382,10966.8012199284,10379.6157762138,12059.0152079429,10805.3713087286,10108.0201523117,10672.1638338163,9516.87078246815,10319.0545546794,10054.7553296836,9177.65340104573,11839.3647781543,9386.55871371575
12003.4519594602,10239.9020472826,10639.0696771167,11990.6318972798,10592.5137868079,10944.3773472492,10370.8112473024,12030.9595062275,10793.7629161269,10103.2316749648,10672.3098787661,9516.88222213331,10306.6840435503,10063.1813648088,9182.30010132799,11849.2712375443,9363.56425942083
11993.2383903428,10231.4531811923,10624.4026805076,11982.5621865785,10581.2826702576,10940.7335564628,10364.5329017717,12019.1288080192,10777.282007674,10077.3528407246,10629.7370083433,9484.43261800301,10272.1972561382,10039.9109179056,9147.6337184391,11813.8236692518,9329.57548282901
11984.8912303685,10224.1922995175,10631.9231143073,11988.3378608209,10587.6036916675,10943.7225786189,10363.4291824224,12017.8708489727,10770.6850671244,10070.9252970278,10625.5001253022,9492.31006832586,10273.893655543,10023.8845443451,9140.52001639764,11809.0285487134,9327.97469832058
11971.4168080516,10212.7676605824,10624.3338015869,11976.8365103077,10575.6290433147,10938.1445663567,10343.3335270328,12011.5370488574,10766.7605523485,10058.8913059096,10638.7964934131,9488.29140275095,10281.477835543,10015.3237311653,9143.83393627695,11809.55494731,9351.22159111934
11982.1664017084,10218.7260307872,10627.758241639,11970.8943747041,10587.0436915068,10932.8626543862,10361.7482329161,12012.9992045577,10770.1549866812,10067.7510208601,10644.1886981544,9509.89566953299,10291.2305237488,10040.363760277,9152.42012271219,11819.9426421186,9341.62855374119
11966.6225896069,10202.6620290305,10606.9577560691,11952.7842745348,10563.7105425799,10937.0449609872,10335.2906330148,12002.5898030583,10764.5501282267,10055.8827381613,10624.8842449236,9485.08520649459,10277.7471348973,10022.5880961482,9144.57763915975,11799.9284596026,9338.21254091819
11979.5887873593,10211.7555236393,10626.0889693094,11974.7787248385,10570.8294952569,10935.5020080155,10342.6143638551,11999.2008770048,10760.8207187921,10066.5097154394,10631.1499709435,9490.74091621522,10282.8312793308,10021.6014092008,9133.79117318216,11798.7538815713,9343.34718991264
11985.7786793591,10234.1220531372,10637.428434107,11987.613799391,10596.8446022286,10961.9289623537,10364.0453340121,12014.4334942998,10776.3031740144,10066.3076837825,10648.2785313959,9517.32608169382,10296.0223588299,10030.2807688216,9157.23470489368,11818.9374537518,9353.21187597259
11982.8945234157,10217.9545987464,10628.7971574651,11980.995246382,10587.1732260117,10950.5214836585,10352.5634309717,12012.4833357921,10774.7739477772,10071.6532008341,10646.1511559349,9506.74103432085,10300.6292297775,10049.6217377019,9153.34190547593,11827.8547931296,9350.7788292018
11973.1664917039,10212.380593226,10637.0647041554,11973.4262122995,10588.8341852459,10933.5918417594,10351.5899713312,12005.786017842,10766.1606633605,10067.1264898139,10644.7404344484,9496.38613592085,10294.0021066506,10024.7319667644,9144.88467961041,11804.3622514922,9326.05790858093
11975.6459927093,10212.7524103086,10627.4483836856,11976.2790759083,10582.60831733,10947.3936838766,10353.4208574888,12002.2803249457,10765.0807366976,10071.8580286157,10628.8759749828,9485.64499170126,10276.9698975867,10025.6250219344,9143.30412471739,11798.8717242448,9307.69352242683
12001.941734759,10229.2668640228,10641.1658193475,11991.7731135841,10591.47688676,10952.5491544081,10353.4594662784,12028.2589558323,10779.1303594318,10079.4599852543,10631.3465634648,9502.09645766757,10295.0679533404,10034.3558394596,9157.16570532595,11824.9338446221,9359.35117589366
11979.5634245445,10217.6089410178,10633.7606715275,11975.9826891613,10598.0431587948,10946.0066497412,10344.1109677287,12018.2823857919,10766.4526215119,10076.3761244603,10654.1738514766,9496.76763679011,10294.6041088436,10037.9653436282,9154.14291247168,11808.4620086363,9378.57414418435
11997.9131914422,10245.938746166,10641.1032939361,11982.2029486312,10600.8023826181,10949.7160104069,10366.0944235746,12028.6265988404,10792.152949768,10096.7322712834,10672.4900514681,9519.99316446845,10305.0236027365,10060.4316401375,9166.77423946098,11832.4607386665,9372.9636593116
12005.3071915172,10246.0508272358,10641.8133411108,11981.0132532176,10601.6052220133,10966.291326742,10365.0926785882,12021.4964764321,10779.015318698,10087.2372843018,10666.2556185794,9504.43456481579,10303.1585628476,10060.6317457285,9162.36472135311,11816.2276890341,9356.74071032612
11995.8999622273,10231.1320095387,10646.9101504953,11994.3459218461,10599.6718880343,10962.5726653303,10367.5318921992,12021.3567852013,10784.378108712,10097.700694205,10675.8024780075,9513.46256089734,10313.3414935692,10054.6258721254,9165.85600472655,11827.860484707,9360.87956715139
12010.0646201897,10247.1286281595,10658.3603007567,11996.5712878059,10591.3749217134,10952.6801221979,10361.0360372716,12027.1778063321,10781.5773672856,10076.0041453578,10665.49275186,9501.92497559958,10296.9799328924,10052.2957144172,9166.9143825833,11832.8644231658,9347.87507962772
