"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
11459.7162410279,10697.5754928722,10574.6851684483,11774.0358933342,11406.6159316011,10558.6810244788,10126.9500672769,11163.0339304979,11062.5600448932,10318.1474443171,11299.7696897973,10779.049771091,10304.2654510968,10854.7295300939,9414.5596404252,11094.4833455517,8289.81055910757
11407.6549246701,10652.640694065,10541.150782523,11746.6256634328,11363.6014203132,10522.8545222916,10093.9338826823,11122.4366356253,11008.0963977804,10254.5609886723,11252.6764275998,10741.396144149,10260.6342286252,10805.8144999036,9357.16961935019,11050.8660155245,8198.93114407344
11382.4169577617,10616.127794421,10526.8032696156,11707.6132587098,11327.5206166958,10510.1280935101,10078.8915323646,11105.2340694364,11004.136514891,10254.0529261444,11232.0945555006,10703.4497292735,10246.9583090404,10795.2310205902,9329.60602194275,11021.9568304843,8170.21808038194
11355.7565530007,10577.805535802,10487.4291608183,11669.4820675902,11293.3702318235,10468.2796712895,10044.5966243571,11064.4729704423,10991.8068277428,10246.0528133834,11245.3285087374,10688.6411940395,10262.236780802,10796.1130916602,9348.66136193729,11011.1121944989,8202.65300547981
11340.5531040061,10562.795378536,10469.0526329466,11661.8750639456,11275.6174242478,10453.4951279468,10034.1569742861,11055.998582682,10966.5217397519,10235.3885452099,11197.9372610589,10681.2835180919,10247.2171855541,10773.2625840415,9339.6579276129,10993.8382916809,8217.92770634476
11340.6990492438,10589.4534967012,10495.3361393716,11679.1390399021,11286.084332353,10489.876677412,10035.4173225642,11063.8798856435,10951.4809952079,10214.7378226068,11197.8957395397,10673.3470815505,10226.4777830325,10760.4701929114,9322.44506899307,10995.6624245237,8159.76080929373
11334.7826359326,10594.1244049257,10497.6319233952,11668.0800350003,11276.0204425982,10474.6627556696,10035.1745725561,11062.708913053,10962.8924880309,10229.9780499965,11210.6526242232,10676.2194213941,10243.5495488837,10773.7708360632,9318.14584161478,10994.9553118438,8154.11248568116
11336.5531713933,10574.7198486016,10473.7740500865,11640.5560536451,11264.7626916901,10453.9790578826,10026.5607790508,11053.6757834865,10971.2326202049,10218.2243002024,11216.3665446824,10677.4972609509,10246.8187128581,10765.0114438019,9322.95567673132,10990.7884278405,8177.21237447632
11337.1787038306,10583.1847291088,10485.9236625166,11670.9173927995,11269.1822972332,10472.9208177553,10025.8209417625,11055.6784783472,10954.0865766952,10202.9541024923,11178.823159198,10687.7627339316,10218.7906421081,10752.053767568,9301.65415147473,10967.2731352546,8120.73731007579
11356.9465753282,10605.9055502169,10502.6243718828,11689.5806888391,11280.3013818928,10485.9265793672,10033.7007397518,11072.3453750204,10951.7527500218,10206.7105433861,11200.3108168326,10670.6261605965,10210.7267421641,10743.8330243001,9273.49204181921,10974.6893245464,8081.40593564731
11327.0437762226,10573.1321173196,10466.1072005767,11633.8311639523,11254.1894782141,10447.5908889207,10019.5857491765,11047.227851462,10959.7733797977,10229.4124207183,11199.3472377121,10657.1431531167,10226.6217194708,10759.4592580712,9312.39026200304,10985.1773457476,8153.20904699731
11322.1021204642,10561.0234310034,10461.9664436765,11645.2446671577,11256.0797554485,10451.491543519,10022.8297577148,11032.9236957766,10953.0969578047,10203.0634916005,11195.5264477797,10671.3937095822,10225.6365976155,10738.8062324762,9309.2597113781,10958.7437951092,8159.72375556999
11317.2593649107,10567.8509775841,10478.1820181319,11664.262739138,11265.6149167725,10474.6073931235,10005.0565210753,11040.7983756058,10941.7327454179,10191.9665395559,11184.9948966394,10677.954348178,10213.1781526768,10743.4985033457,9293.65336841807,10959.5148109584,8102.56222173752
11341.637606067,10572.6870421346,10493.6209131211,11670.8436436761,11280.9126143371,10489.8708860314,10040.547784454,11062.5919396862,10955.0923002089,10201.2403142424,11183.7579570511,10662.0152238108,10207.0864201081,10744.3688825957,9287.44377650257,10975.5545543382,8080.40453946516
11353.577391008,10592.3919511153,10490.0691496525,11661.6943864854,11286.2955103986,10472.2978381375,10056.2534964736,11085.3132892128,10988.8932426136,10232.2002680362,11203.9007550618,10674.0905822102,10226.5886472485,10763.3244427412,9312.28122209685,10986.1687688756,8158.00583103096
11355.0661679216,10569.1068535636,10493.340404165,11687.1228610527,11290.7296999881,10476.5612742303,10083.0229887333,11074.8887883743,10999.7340529758,10260.5846994069,11201.4485568585,10685.7202583572,10238.7225277247,10772.1132027138,9395.66502004561,10982.0445021216,8457.79118799069
11351.0576427139,10577.4618237961,10495.0617757847,11688.7684949864,11290.4308668422,10484.3375671559,10052.8267210093,11072.1445897406,10975.5218226792,10233.4631741645,11230.2284777509,10690.7841317117,10235.8896274947,10779.6213684474,9364.38589260002,10987.3292800816,8266.24201979494
11374.255229827,10588.1081664285,10506.2872505097,11684.3601934525,11304.6436366686,10482.0349805665,10064.790585574,11101.6401163658,10995.6273927069,10244.6156038461,11227.6335354749,10683.5398960821,10259.8205381699,10785.8145218096,9348.67157551839,11017.3100476519,8194.15158205005
