"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
11968.8508566026,10504.250484092,10985.0642763058,12088.2972220788,10912.9725115917,11234.1903279693,10620.4251748155,12073.3588432915,10836.8191807808,9734.07869179801,10779.4388510206,10168.2584717098,10022.10370761,10130.684126012,9671.80548445105,11551.24042857,10609.066680273
11941.1858706578,10463.5087093177,10938.5355411281,12039.3100882186,10880.22050386,11208.607636764,10605.1709754533,12026.4582094147,10797.9743073811,9711.67649065992,10750.4328756602,10152.2985062182,10011.6204848297,10105.0400102211,9653.85968759317,11510.6279837825,10587.398454732
11915.3611203595,10463.5030717058,10929.2938522778,12042.155172323,10871.710679613,11195.8144282454,10586.1462573352,11994.3909202442,10787.1213138592,9695.87568399157,10738.324943754,10137.7290197518,9982.2339856352,10089.6495885319,9628.02991441197,11494.565919106,10553.6008003861
11915.3947080007,10456.9180761186,10925.3728185646,12040.6676952274,10872.8959226838,11185.0357052749,10571.9659342852,12019.387884096,10792.7135148793,9693.70022271635,10736.7393099835,10142.3398586221,9995.56786148646,10088.9110902836,9621.69811224913,11490.6688243077,10560.272257958
11883.7362163729,10427.9769296679,10905.9529708348,11999.83467773,10859.9594348735,11159.2927397254,10559.302057098,11999.9011041625,10772.3411048558,9674.69699310377,10724.3351753336,10127.6177183821,9991.09931564406,10076.9353617492,9594.20793512696,11480.752307632,10546.9385569843
11865.4366343574,10413.4258545545,10883.0577132503,11989.4152262554,10834.531994643,11143.2861585236,10529.7567626782,11982.547650664,10760.6608891819,9665.36917457835,10717.2727932237,10136.9565832011,9996.59048190483,10066.1844912394,9611.19995738886,11476.5239924842,10533.626011825
11889.3722772667,10427.9860358151,10888.8709610938,12010.724437683,10857.5930024753,11166.6320475365,10559.5721578866,12004.5841870748,10786.0918598111,9677.44264318696,10724.9981440842,10148.6193481853,10011.9081221531,10088.5932386249,9634.82412493571,11496.3191965976,10553.6689040789
11922.9325425713,10449.5234795074,10934.3373289157,12019.6496486388,10890.9215784725,11198.1512263375,10593.6454376399,12050.1410169221,10808.7720172087,9708.56573410262,10771.4311931211,10163.8466278032,10040.6153963515,10105.8886302853,9659.96158512286,11544.058518738,10574.2631056708
11922.811498931,10435.1651737903,10903.0028527117,12025.1834079191,10869.3268920089,11188.0357772766,10596.3855453219,12032.5538967128,10791.1448867083,9682.66039640488,10743.9217333145,10145.6904831481,10026.2263584411,10091.0742379549,9646.88921606475,11518.8865783106,10557.3274655292
11902.5489379794,10422.4863251929,10913.6082676508,12012.3178433943,10873.2600109888,11180.5980819013,10569.6525918715,12026.381766894,10786.6454079711,9672.99854219384,10747.9683931952,10147.4491369033,10020.455465164,10082.1567692043,9631.97661056924,11516.375871846,10531.934893123
