"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
11778.734452135,10368.1988690615,10152.24334256,11652.1422803114,10691.2950943954,10395.7182249226,9938.81021087876,11470.4713679033,10962.8722697975,10315.0751254015,11394.88953134,10282.1819441188,10781.0751076195,10710.655345326,9792.67888736647,11917.5864828647,10135.7286421275
11726.4048723062,10328.8444034102,10123.1634597257,11617.3961764641,10649.9005914935,10362.8665832321,9911.48185852076,11439.5048171954,10932.4323083195,10288.3479380411,11352.3165404278,10250.8311183684,10762.7065448109,10662.496892103,9772.54433518403,11881.4233260753,10123.4214367207
11706.2417127029,10316.5704992552,10107.4041925143,11591.1703937103,10634.3521915705,10334.7280089071,9877.04090268215,11405.0105188503,10916.5123483219,10270.2635492764,11325.1583800801,10238.085338035,10747.2643786895,10652.8650500271,9764.16741627673,11858.1788286752,10102.9002991358
11700.6009949726,10313.3717800506,10099.0517391093,11581.7559325049,10639.2448174347,10340.603063545,9873.52002694046,11388.0242325285,10898.7820327659,10255.3532983432,11314.4210920526,10219.8628416882,10731.6233011551,10620.0882259564,9719.29380490108,11845.7001692207,10093.4423674263
11686.358940668,10296.0425661584,10084.2189492159,11578.0852443181,10630.3428743875,10321.4542727488,9876.72045806231,11385.4643339998,10884.4918654172,10248.9979126756,11303.9686509504,10217.5077703332,10725.215804906,10623.6023211881,9716.55261918883,11817.7481736211,10089.0400004319
11686.7780734393,10280.7258244757,10076.80515213,11561.2768054792,10612.8297755945,10310.1108434142,9869.55360745253,11380.872212109,10880.4993627182,10242.3772086939,11311.5084439299,10204.6472204429,10723.4563298597,10600.3304679539,9720.22290258465,11818.7635712947,10085.4961036971
11682.9528587521,10270.3554856292,10074.3800412409,11572.2069969096,10602.715935622,10300.0941508647,9863.67629569246,11380.6335496627,10886.6009064504,10233.8599992061,11317.0174396394,10218.0736424898,10722.5503688818,10614.6224694001,9719.73944243436,11817.4871033028,10057.4897689013
11679.522876641,10269.0292627882,10065.187767766,11562.0975316572,10590.5689587949,10289.922407104,9863.63273901591,11380.2916345142,10885.963379978,10225.4198265846,11312.472948333,10210.1740703181,10724.4190810922,10618.1227394885,9734.2010710424,11834.1744959194,10068.1131187648
11687.1200206728,10254.7520415405,10056.813488423,11542.0834748245,10582.0729879671,10285.7708870177,9854.72606697091,11370.3116634602,10885.0268673226,10222.4547932987,11303.9592774555,10194.1635204333,10724.8148151191,10613.3938123227,9740.9657969643,11816.2292189114,10069.1467561544
11679.4991508905,10254.3993953791,10044.3577908184,11546.0327901028,10581.8251323928,10293.9536862173,9864.24867121255,11371.9742616637,10860.8151994949,10205.8527053592,11268.6780214514,10186.4564970259,10704.1023252462,10581.8098203472,9719.14667568918,11811.1856966785,10046.1095666198
11658.1096272743,10239.9005457773,10048.77223162,11543.1712285994,10581.7647444163,10301.1374005645,9873.05296649039,11368.3518143987,10846.5979011572,10201.397102064,11272.263479515,10191.1221090977,10695.4321216477,10577.4948388872,9707.27527868,11799.9818871535,10045.8112788942
11650.7487067743,10238.6307589828,10039.865843536,11543.5907381996,10574.8098276492,10283.9126713708,9854.39066563173,11363.0732218142,10857.1849502033,10208.4404509151,11276.4817559361,10192.0624306691,10705.6343004484,10606.4893035552,9721.49170037433,11806.3530105098,10042.829958478
11658.2706032827,10236.5671004671,10032.8586673661,11526.1883148296,10568.403154174,10268.6893771281,9847.28310306607,11357.467423528,10859.8065753437,10211.3769228817,11293.9636374728,10196.1403318413,10705.8144080498,10610.6247955391,9728.10504500212,11825.6475307784,10034.200977471
11687.5081914761,10252.8076610008,10064.5022122104,11560.053074576,10594.9976103793,10306.8477820226,9876.90862917791,11394.347361825,10886.6076385635,10231.0533820566,11302.4755484912,10217.0078511251,10737.7648309202,10627.4118229519,9769.02341230247,11847.4475234688,10063.5105698983
11679.0962388672,10261.368883492,10067.2344359511,11562.3231404312,10598.6383806491,10305.4605602686,9872.92956123217,11382.7630942432,10889.6193315125,10217.3577924866,11293.5111812225,10207.3187025973,10731.8739206707,10617.0899541384,9759.92782892492,11852.4466131906,10067.6398714318
11687.2393634804,10252.7797833776,10059.6306943418,11577.8545145225,10608.1336964328,10319.2742884737,9882.51572545599,11384.3791676856,10881.737424142,10228.9999475703,11295.1896392147,10209.040808563,10722.0724371414,10607.9809241091,9737.91243021079,11842.9473149511,10055.5577305049
11684.6854709327,10274.4901491317,10069.7990038001,11561.510302112,10609.5068576215,10312.9769437129,9882.4966976192,11399.1100329218,10887.00918695,10221.7524988376,11309.1361676581,10212.1635327814,10732.7580269402,10600.356656651,9748.24485512627,11845.9963066547,10061.6701798978
11671.2838662037,10248.1264587321,10052.9421777414,11562.2693249265,10594.9444772557,10308.5751454764,9865.65163854159,11394.4086487493,10877.3306930406,10217.5320421058,11308.0252520482,10200.9595863125,10724.5981358921,10597.7711713172,9735.87215258379,11825.9091439874,10041.3461097072
11688.47084536,10268.0560377576,10048.6500750505,11561.6698656096,10598.0260389442,10312.8246939249,9870.53702101076,11398.5082402865,10883.1926455488,10237.2055967624,11311.5502032102,10208.159410294,10730.8373823761,10620.0060517614,9754.98077602392,11842.9276858983,10053.2000655057
11694.0749522279,10277.8768375828,10062.327349562,11564.9133451584,10610.6539552176,10310.3731414517,9872.84657773478,11415.0266801392,10888.1046754568,10226.3695945018,11334.4159711279,10223.306305968,10743.8983889549,10631.6284279892,9744.98388638703,11843.3503800873,10019.5294386842
11719.6775995645,10306.065536905,10079.5243780821,11589.2273729989,10632.4200433338,10331.3588681395,9899.59420134786,11438.49922921,10925.7622821268,10259.6012051274,11341.2694715735,10238.2142261178,10781.3173601106,10641.5116898933,9767.85789988417,11865.7087981694,10058.5124906796
11712.2349388389,10326.1791173881,10109.0469480127,11605.3811900566,10648.5002424898,10353.3366706421,9911.25875518185,11442.4541563327,10924.3331928652,10260.0130506188,11334.7284322409,10245.8994277451,10786.7611110234,10645.1911820597,9763.9676253312,11875.2808619316,10068.4563884983
11713.4069364177,10322.4735199269,10106.5617789754,11607.6204441029,10657.7166475795,10365.7338252449,9906.87503211493,11454.2280025508,10922.2390632919,10264.2384771209,11353.4140716021,10241.5195504761,10775.6243944357,10653.906222341,9782.22075064009,11886.794040554,10085.0522623995
11739.136739804,10324.4934943376,10118.9936991099,11627.8585202317,10663.3639898532,10370.8860970713,9912.82712314805,11460.6188453492,10930.4383636113,10262.2312617316,11359.0502034536,10258.7324075422,10806.1627545512,10665.5903628271,9799.95170712441,11905.0616660326,10105.9441715973
11758.5082631971,10345.8877255475,10120.3528105132,11619.2313768342,10668.2512634687,10376.3078464208,9923.66890550847,11473.0248283857,10945.7314840437,10286.571171672,11375.5612829173,10268.8995737265,10834.1404126432,10674.7047530037,9824.50020293826,11917.2240210368,10115.7231152603
11752.3763759436,10345.2159702223,10125.3598372983,11620.9767391205,10667.9220304692,10371.8317219252,9921.20336509025,11484.3865143789,10937.0479011029,10283.2271971569,11383.8636790841,10271.8738229378,10828.2593694944,10674.7247908386,9819.17711369884,11915.4803325497,10124.4093540339
11729.6053955327,10319.4767878252,10115.693676265,11602.7224158642,10655.7018712966,10352.4319113987,9925.43058880731,11472.5093161305,10926.813556169,10260.8114649927,11344.0185415139,10254.2302896646,10802.0422306192,10640.6486404182,9792.03017969029,11902.8465940593,10088.2417412672
11715.119838742,10316.074366849,10095.8978421725,11585.4586348205,10643.0771129985,10359.5711206214,9913.91364397025,11455.787159169,10910.7312245946,10249.2038295985,11332.933624643,10248.8871233125,10788.4203403509,10645.5882010787,9794.55201623251,11886.1309896867,10079.2224394218
11698.6321535974,10288.5368148459,10075.8566538811,11562.6492542196,10621.3587462839,10326.8270685106,9898.89474531726,11423.5724414136,10897.9282650512,10237.3892795231,11317.5160514979,10225.2557274699,10767.0041662904,10622.8436024051,9787.32481076292,11879.0393212683,10083.6045461106
11663.0403016296,10275.9144685388,10049.997669922,11516.6194398162,10596.077964032,10294.9419936906,9871.03816009692,11408.8803655205,10879.3254281613,10232.9705899557,11302.2846605182,10215.6279752816,10771.4395563359,10612.2172980827,9775.67434746277,11861.412338445,10085.3951450426
11662.7406584307,10275.7286712794,10053.8988201854,11542.4528931926,10592.0807184921,10305.9101399263,9865.84113499586,11398.5447735014,10878.6169350117,10224.9258648277,11316.599957759,10208.7028190387,10759.2325333706,10625.2552306825,9768.49275384792,11853.6690544329,10054.2861105368
11674.1918358989,10268.6801585599,10050.5228181622,11534.8386729977,10593.4362270593,10301.3878188281,9870.19346923032,11413.1382194281,10883.8680893865,10227.8629575627,11322.230610837,10214.7205052309,10758.2687167725,10626.2479326881,9766.43898539091,11848.0331519559,10040.3355590033
11686.4093200468,10260.5050737786,10059.2536092281,11557.9215677528,10598.6486322073,10308.162802304,9871.43153843509,11406.062987905,10872.7311693381,10219.9165678061,11310.9050400289,10216.8121491789,10761.0819252507,10613.7801649017,9769.38729483851,11842.3436269596,10039.4830812583
11678.2514274707,10272.5172948304,10065.9986124777,11563.530480684,10607.8861404204,10308.2757123188,9883.50068773587,11413.5106420005,10889.3948394656,10239.4963356719,11313.9449336464,10220.1617606933,10747.8413194168,10634.4747988369,9766.4856563951,11858.942392844,10060.7847025026
11677.7637388675,10261.3867997342,10064.4210338445,11566.5113091905,10601.3998300337,10307.5381590358,9877.9654394412,11407.7737936285,10889.2600220803,10235.9043651117,11335.6906810358,10225.4179148902,10763.6948539504,10637.5072381187,9771.00242724968,11853.6567955943,10050.9971048903
11670.969043425,10260.2462284091,10064.4926642028,11556.7849221857,10589.1752353517,10297.3031567825,9863.70150243841,11413.3091650534,10879.479110567,10221.8834369733,11323.0257414573,10219.5430731262,10762.5408529259,10632.4375927133,9765.32879527388,11851.6544315155,10055.6767677946
11689.1729404795,10267.7693148166,10067.9087664003,11570.1147917638,10605.8756731499,10317.2719507082,9874.10295679937,11419.4682735402,10886.1710287762,10232.0387353477,11324.7536690828,10227.2294064897,10762.2719519956,10642.2328579553,9766.1017665034,11860.7394907604,10066.1839610366
11727.5130372789,10302.4797796056,10100.9607695141,11598.2091374046,10644.6473594598,10360.5458229039,9910.75813817022,11453.379202483,10909.3691387185,10250.918845154,11329.8209916379,10240.6769070172,10777.5337845296,10660.7605342989,9770.43979654315,11878.0467568801,10038.3991293612
11751.9217342221,10321.1522338291,10114.0664021292,11610.8072419522,10658.4496621848,10366.4984498563,9918.33353111482,11462.9277900389,10940.5588094947,10285.2231611754,11364.4947489797,10263.2813579238,10804.347126295,10675.9535449406,9798.22407709087,11902.8821417399,10090.9745111659
11716.6088185729,10290.3844799134,10071.7311843396,11575.3967229625,10620.8865736071,10335.5461472463,9895.29793550036,11425.4562407343,10895.1911246615,10252.9375169761,11327.5053841273,10233.75572574,10771.7829067437,10636.9217703544,9773.54095071733,11862.8086031033,10077.5345382842
11694.294481201,10275.3704852164,10073.7087099352,11561.4958426066,10605.2876955504,10312.3014410876,9864.72543613096,11402.6100586748,10877.7892659361,10226.7281390897,11313.1312481436,10211.4614585408,10751.6612737435,10615.6694685681,9758.0792040656,11854.8453299628,10076.6621310207
11684.3341586418,10268.6441200764,10058.5554654022,11544.3381412725,10595.9157543355,10312.2538071678,9863.03723331446,11398.4199126297,10865.5759000116,10231.9307476253,11313.9674562252,10199.4950947523,10753.0338710561,10619.7331933022,9765.27720896999,11839.9637456562,10060.3332430123
11680.0270420872,10283.8112735422,10070.954606083,11556.6676773014,10611.3843001661,10315.9924260119,9884.87460403922,11417.1443427497,10890.3357808136,10247.7746245977,11330.9196221931,10215.3662860235,10759.1592955514,10642.3531166284,9767.94504991034,11854.0035427636,10056.6496889371
11687.9399288812,10277.5740020328,10087.1071528959,11561.7369543278,10604.9891008252,10325.4870680282,9890.06208674652,11412.3839552053,10893.6569135225,10248.605014556,11308.5586947933,10218.8172048459,10762.0941260867,10628.1130420164,9758.94980587283,11848.7690659964,10058.0206343007
11696.4817977383,10295.4060527049,10079.6455331757,11574.2372696048,10613.4751118517,10335.9831552897,9886.91706115035,11421.8547234205,10889.7507574246,10247.5376384318,11338.5398085172,10220.6944323441,10757.9944995053,10640.1195531347,9765.90969989379,11848.4683759448,10033.9558798378
11686.229391544,10292.3837217666,10087.2711530821,11560.0129091113,10612.4090483706,10329.2183643847,9875.17433923547,11414.5745030514,10881.7434062727,10247.0824771098,11315.075808354,10205.4197636978,10767.1130240235,10619.4631374352,9755.76073340383,11837.3217801815,10061.7884648866
11678.3866830838,10277.2869442192,10066.2467412848,11553.5981811705,10603.8330894997,10315.2400927616,9868.45356871144,11405.5314790528,10875.6594366119,10229.8914322865,11301.6134700192,10208.637989416,10748.7391229733,10606.8812627365,9766.49698624928,11819.1503157774,10057.0850934975
11671.579749193,10281.1794546149,10079.4383363941,11556.7682706236,10607.5323415256,10311.5158569863,9872.50506861307,11403.5801727164,10882.1323790836,10241.4837874075,11312.752075277,10201.083071885,10734.4400058143,10611.1111438238,9754.11050119638,11813.7567925075,10052.3741293059
