"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
11175.4800177948,9599.10521187179,9771.18006864134,10827.6834746259,10043.9772801678,10129.82811712,9785.91436387266,11179.8725885014,10735.3079160776,9983.68129525971,11097.8256301172,10096.6803838187,10769.1584315945,10310.3786597998,10166.8051812586,11814.8251806429,11486.65665744
11139.3080109833,9571.59354094533,9743.15902885213,10812.0947151891,10006.9492025099,10093.5993633714,9769.27891673346,11152.2172351977,10728.5107543047,9946.5167252004,11060.0113298045,10057.949335275,10736.2825478794,10284.4581835975,10135.6152515862,11781.3389159024,11444.2856971715
11118.5700335666,9540.0097445498,9719.37304783375,10778.0869612461,9988.44121581782,10086.3628311903,9746.87120742035,11141.6978870179,10691.4352783863,9921.27966479477,11046.6394265018,10059.4075295202,10720.5094661408,10256.0217383637,10121.4210087696,11751.1839781858,11403.4879996194
11104.0287986849,9520.77421480817,9714.94242166149,10761.6667353439,9964.48442977889,10055.7482159505,9730.10054749991,11135.6542655379,10671.5307264926,9908.33075732302,11027.6646725455,10032.6939288454,10715.0097059461,10229.4506925033,10097.8851227923,11721.3702514448,11412.5778979815
11096.316248238,9510.7427321587,9695.46714883746,10752.9023271896,9947.4124951132,10051.3592495911,9728.26155862904,11119.0695889807,10659.3932085883,9894.8334237015,11034.75221393,10024.6600437719,10704.6386603922,10229.0582109293,10088.277431898,11718.8538167437,11393.1726014107
11059.7707751644,9494.40869234825,9696.79168674495,10733.1699172886,9951.26719532674,10026.0196619413,9704.5071991577,11098.0655570037,10664.2958748057,9902.50085313814,11026.1961201415,10031.0443818602,10714.9511963414,10237.2721532317,10103.7778160749,11701.2391746828,11394.4044579129
11056.2709598475,9499.38243688591,9688.29266199648,10725.1611775982,9941.08892846483,10027.4050212237,9708.88430194709,11086.2156757908,10660.3769238772,9882.82070479383,11006.3806290189,10023.8218453347,10696.7304314223,10215.0688875058,10086.982294088,11697.9830501629,11370.407452257
11060.0208806398,9487.50849813941,9677.2055792311,10720.045197551,9938.47379618041,10039.9389888763,9699.10453710005,11091.8533390476,10638.1727872313,9864.55325381998,10999.2623231995,9999.24168295445,10682.2108742151,10189.5679855247,10061.5017086583,11671.3876137273,11362.676873891
11069.5735664628,9475.95704615366,9684.18694808565,10712.4991633155,9943.74525068634,10046.5271516222,9699.84779430935,11115.0364076863,10639.3914312884,9871.00566730208,11003.6958454502,10012.3625973199,10696.4995538534,10186.9414664098,10073.5738667543,11696.0307657117,11373.1496584476
11065.4357076071,9474.32791003079,9686.42743897436,10726.1755142487,9939.15555713969,10046.2247541353,9718.95905198208,11102.9802709898,10657.6133607629,9885.14017709841,11007.8227281549,10031.4083584812,10717.0388273954,10210.4874018003,10096.5214554077,11719.4500701685,11390.4347171171
