"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
11684.8218813448,10002.6063582441,10530.0838143866,11552.0070863726,10989.2268753401,10880.1211147979,10211.4477582566,11887.7662718282,10594.1320590113,9730.31071462069,10477.5060256935,9339.7411867194,10275.0319602911,9630.06886431177,9724.90621614216,11759.1011558149,10479.426840085
11663.51562056,9980.06496363888,10516.9672382049,11540.2634112077,10965.4189760669,10865.63379165,10197.1296885284,11878.6695826645,10581.5711540304,9696.7992926935,10442.0403800136,9316.09938505265,10262.6883762498,9597.16228383253,9693.70696753366,11733.5449177293,10452.8230246605
11648.0808606384,9962.15310093066,10507.4236750202,11516.2478168149,10952.5012664473,10847.1244342255,10186.5368438838,11865.2793846099,10574.1743948708,9691.50587765773,10448.2468016027,9313.03411035656,10255.7042882373,9595.26771626314,9694.51675868818,11724.8161277753,10455.9869425347
11627.4899528718,9946.89363809272,10486.6244348334,11497.5249383388,10949.3321857266,10836.6763278309,10175.5603318319,11851.1098520934,10551.1877879289,9672.20624487551,10427.4231623469,9293.55410019626,10250.8365464079,9573.34660758859,9665.90397951722,11702.090519709,10415.1055685962
11623.3913144086,9945.48027519035,10479.0003576601,11496.7221409791,10932.5487223714,10825.8480683289,10162.5988729432,11844.436895609,10548.5790412861,9669.03547680657,10440.0827903996,9297.98187555714,10246.05031407,9577.20391879045,9670.59456090276,11704.1065984917,10423.6951086718
11623.9835389423,9949.6942200981,10489.0689726521,11493.1569682063,10943.6001649785,10830.3942366152,10167.5461221502,11847.8084429063,10552.4887154462,9668.27181049827,10430.8295799666,9298.44470913444,10240.4508712643,9578.82250482016,9682.76000079549,11709.5691610068,10401.109730629
11640.0426785747,9959.99601984448,10497.070336361,11507.2497961059,10944.5323787901,10836.6977560353,10174.9463066735,11847.9352376904,10555.2374218072,9668.06337774123,10451.7271769919,9306.9495650653,10249.1299923916,9581.96992350313,9685.63432008545,11709.8896442941,10424.7062913757
11631.165545636,9948.04028103144,10486.0236733582,11505.0509096128,10924.9037881629,10828.9994917312,10165.5371681465,11839.0594232394,10547.6020634,9664.09347844296,10437.4489147435,9283.05870597495,10237.5830424449,9566.15317545193,9680.65633218187,11690.1022871978,10423.5183045214
11636.6641603231,9948.92426408517,10496.0768920721,11511.6425943987,10934.4900937339,10833.6115251,10169.4257898163,11842.4154183205,10547.2582053022,9655.63753405021,10427.729367973,9283.91798063091,10238.1829435745,9563.52120881363,9683.8727335943,11690.5226518317,10421.4832993922
11624.6191426757,9948.17832504695,10491.0921443761,11501.6666792772,10930.2155520675,10827.3993423785,10162.055942112,11843.0143516794,10543.3802433435,9666.33418428906,10449.7269248051,9280.58211321722,10235.8109777656,9564.7317081721,9677.49414205703,11688.900137622,10416.5071847599
11639.7820684987,9945.53628247622,10504.3964155878,11504.5866556239,10950.1729415067,10842.7256902579,10184.1772262522,11861.5514161693,10552.5335341896,9668.66185083321,10453.2457018214,9299.56725133028,10257.4005657369,9574.97223899039,9682.18262375685,11706.6845119893,10434.3458670929
11634.2063759552,9945.67339494937,10502.9206930936,11519.2821636624,10922.5192586091,10849.3275751651,10181.7842444902,11851.6349895927,10552.8468553737,9661.95232012214,10438.354938,9278.04661565485,10228.434553511,9558.25320984139,9671.60246668705,11676.3103168316,10424.4022046799
11636.135657148,9970.21226910802,10506.6622181314,11514.21039703,10922.2651657644,10853.4597170476,10177.2793965915,11839.3888478503,10550.0320967073,9668.52498139112,10442.2561830193,9286.96827448544,10225.7803842733,9561.04506252571,9670.95328755982,11698.9604197391,10397.6953962169
