"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
11935.1783213481,10432.1224936674,11053.1274503853,12434.5370897955,11714.3619657232,11089.1364225352,10537.4150853235,12098.1602127297,10783.0437521502,9646.19051515339,10593.7905633836,10415.7575318416,10069.9375393649,9618.27106510371,9234.44445397349,11262.0380547046,9533.41472417981
11890.9330943147,10408.0720658747,11026.7033588324,12384.9094778151,11677.0608574112,11060.2903199952,10504.3304302094,12052.2218579174,10744.3409620642,9620.43432942516,10538.6938586897,10380.7393012292,10035.3238231759,9562.26225645032,9190.79408769009,11203.374548614,9515.60663001408
11870.4818632708,10392.0289618291,11005.7494784974,12355.1049035788,11662.2277938438,11042.9181820677,10472.4110864343,12024.8495861126,10738.0848455447,9606.58090572974,10529.0606119657,10380.8681429306,10033.5991688096,9574.09944788015,9184.57955328006,11186.9186858877,9478.48365734206
11842.0169318498,10387.6364918227,11002.4168658027,12355.3416489149,11667.4905799712,11032.5702240909,10464.4577817786,11987.4767145145,10727.9522535619,9612.29545878592,10530.2846058381,10375.8168772274,10028.1134286222,9572.32076836847,9162.07965279421,11162.5153925714,9485.41943365143
11846.0152559351,10398.5060349258,11002.5555844128,12352.7454806898,11658.924613194,11043.3873397608,10464.8141460835,11992.7914137313,10720.6116550427,9604.32407776434,10533.7807038896,10363.7724019094,10023.4166131633,9561.68468034128,9170.60974731732,11155.4883645177,9495.35584640016
11855.4725267341,10415.0817586863,11017.9863995511,12358.4585527593,11667.7992449321,11060.9628262935,10489.7853267634,12009.4126498775,10723.1493731613,9599.3128630081,10529.6693885784,10358.2117153221,10025.0896203674,9542.13919470744,9166.51356580791,11177.6733205575,9496.97318958972
11887.0159590946,10433.4923786225,11040.5388210833,12397.8518773115,11693.2471668426,11080.3048372532,10498.5950175414,12048.4998752818,10742.8830787212,9613.06584828395,10538.2830098649,10377.7836342414,10042.8730449535,9552.6453786086,9168.20905271117,11180.5428138472,9518.74878445358
11860.9623406316,10411.0871061679,11019.8556403983,12370.5554383224,11687.0600747563,11048.5842018488,10473.7407466958,12018.4852247397,10739.5329165171,9609.95630884323,10534.8650326134,10368.6511951338,10047.370821583,9553.45958627651,9169.12540565415,11170.2325273227,9502.06441267796
11868.5032958507,10392.7057771186,11005.4925054097,12357.9351227638,11673.6401316653,11044.3549262243,10479.5554394677,12002.4809276885,10739.4751469433,9610.57463440484,10533.0095986543,10384.6841685772,10059.7750058206,9566.01012669583,9182.9759094526,11178.2592227268,9499.48767617922
11862.7410663863,10401.5338840136,11005.7108508558,12368.6450604813,11693.6375976427,11070.1131600588,10503.899209737,12018.1549525452,10744.5822163985,9619.05824788659,10541.250449577,10387.0549521001,10066.115522275,9571.13231730311,9168.10658130552,11175.2917313716,9493.57451182726
11846.1153981528,10393.7262617509,10992.6082694249,12353.7079472664,11681.907287896,11038.9110311639,10489.791070321,11997.8477128355,10725.1118190413,9596.99164464692,10512.4188899208,10380.4569432025,10049.9185429485,9552.21121240852,9156.11840934806,11156.6776835634,9489.15096613222
11840.9162879173,10386.3190651421,11000.6494456672,12353.2124051564,11666.8950896444,11023.7195128121,10480.2066379523,11994.1162819674,10714.3328520388,9584.59322474343,10527.3818178774,10372.8600091061,10034.0832351686,9543.01476205294,9165.89846641515,11153.0598597828,9484.34410428174
11875.7504027409,10396.7504452799,11009.7740013236,12374.7354527858,11689.3388860615,11059.4714072401,10510.7786447318,12011.7851555311,10728.4564255171,9593.21034531484,10522.9841334734,10381.5109972504,10051.782633442,9559.72787422716,9171.72945593207,11168.6525629595,9491.27836028527
11870.9781680818,10392.4544260532,10989.1145653101,12383.7324776636,11677.713130106,11051.101424703,10491.1162847294,12004.1086215669,10730.0354454048,9587.20647132281,10522.4364486983,10366.8954545448,10036.6460266273,9550.13909413942,9157.73128364261,11157.0448931405,9478.79847886666
11882.7238335779,10399.2343939331,11005.2473920872,12386.5687605117,11697.338051064,11063.0003603519,10515.2158221983,12030.6672541004,10745.856664496,9598.52970938162,10524.8795106436,10392.6398650852,10054.9064151154,9554.6204275828,9177.04744867687,11174.5028633208,9495.98215542847
11886.0735555862,10418.2101208257,11020.8013515375,12388.2414797941,11718.6892592894,11063.5007995346,10506.6377297369,12025.8072973117,10754.5920129581,9609.96702549159,10552.311175391,10401.3857310661,10061.5975419591,9572.7989517404,9182.99801862855,11188.7535870566,9513.03033444477
11865.781320357,10402.2956579673,10998.5620949588,12367.0265771544,11689.5012181825,11036.7656382082,10492.5188057316,12001.6868977008,10742.2019171718,9590.7603875626,10516.1839275757,10375.7462851896,10037.9915358309,9536.49377579052,9166.35826109067,11163.834792467,9486.51198180548
11891.4742391522,10411.746205482,11008.4964168469,12373.3364504098,11699.4404666456,11061.237092624,10515.4213540601,12025.2704012765,10756.2872384266,9597.17942044357,10532.9257483077,10404.2443377989,10065.7743362405,9565.28606114403,9190.09623412991,11180.8617456349,9476.84025044119
11878.3798293462,10408.7017281851,11025.3115055238,12370.6637662891,11702.5493752026,11056.7717229751,10516.845708121,12029.162599824,10746.1267729323,9603.72886783622,10540.6512628798,10396.7353625168,10053.2114368463,9564.02471947566,9186.90645995499,11197.4783820274,9480.74447373398
11870.0680069718,10406.9271116297,11024.6108537627,12368.9719835869,11694.1373705881,11054.0026884303,10510.5389911027,12026.8831181982,10737.0337241481,9595.08938422171,10546.4729565598,10384.9295072494,10058.0635361904,9561.490413676,9190.00042266853,11190.2680740311,9476.1943601648
11897.5873135303,10421.8161420603,11038.024369032,12378.6147667671,11718.6726059746,11068.0809213487,10532.0258242433,12068.4327990736,10772.1115530724,9611.36689240994,10570.9319764022,10397.7578946785,10069.485938017,9571.88269669068,9211.50085869383,11201.5551204333,9512.87523519331
11901.5254962409,10433.5273105768,11041.6043131461,12390.540103337,11727.918126588,11083.944282834,10537.8472351584,12067.5599589806,10770.3503236503,9620.32839217841,10563.1709361556,10415.6223456918,10094.3476043726,9582.87539848215,9212.94463808888,11219.6894789572,9513.23299765226
11889.3600725473,10419.7742290183,11016.0596948038,12358.3242374135,11718.0722652334,11066.282105895,10530.6849855895,12048.7577696012,10756.9919588923,9609.03623910823,10558.991568258,10398.214689054,10095.5207403014,9559.37784571033,9210.7605877466,11182.0676743747,9505.13516320236
11866.9932829692,10407.7898456769,10989.76703548,12352.1028155373,11708.8269053868,11046.5685428519,10504.1731523677,12029.730371475,10731.5369908586,9592.16092709703,10528.3099909861,10395.0558082939,10082.6124300459,9549.88228465154,9207.41027083778,11182.4988354622,9504.00425059795
11856.012845091,10399.2074564053,10980.9797169311,12342.5769443355,11701.5090946903,11040.7801152648,10509.5745915659,12017.1506847929,10743.8430607925,9603.49959082671,10535.4109954121,10400.7157167853,10086.8708895298,9540.42864598156,9204.71937145925,11187.8252652753,9506.74498161535
11859.555122894,10403.3053757762,10990.9463860497,12345.975647996,11698.2454979533,11040.9456395044,10494.1601902198,12019.5220500695,10743.3003060629,9596.63040542855,10543.7393223408,10403.3574679012,10088.9643263463,9555.54379431703,9204.95594766303,11183.934612202,9502.89222829501
11854.7370490331,10392.9386452381,10990.6991851737,12339.1435554823,11682.7515404072,11026.4287271369,10490.3529989912,12003.9636348804,10744.8484166729,9598.05869496971,10552.2072901361,10401.1478573613,10068.9115534591,9551.77170946262,9193.22143593556,11173.021150976,9488.27175200484
11839.4701003047,10382.9101188946,10997.0894135149,12331.6345924531,11690.0093324443,11028.9283069149,10486.3028298583,12004.057921576,10743.6231408717,9598.22033036324,10534.3543802385,10390.3732528538,10073.2129664407,9549.03587708926,9197.84966269548,11167.79940225,9512.82496480623
11851.5502377181,10388.8102962654,10982.3527595092,12310.6198278466,11687.2844426272,11015.2916835109,10488.625817895,12006.6428981995,10720.8175321382,9577.13778370951,10512.5373928277,10386.0002992591,10068.3261233143,9528.95248546758,9189.07825567279,11164.6951336883,9487.72384904916
11829.2174766546,10359.20200815,10964.2585032028,12294.8978572775,11667.0527016507,10994.6027753757,10463.9384260588,11983.2845070954,10696.1481655997,9568.52890081518,10486.1741059534,10356.6369841445,10038.3491955615,9507.07447543302,9157.29387008338,11132.5892605982,9444.39556232794
11821.180034956,10352.4990379114,10946.1527469667,12278.5108655561,11639.9518260819,10984.3522752238,10451.3337399362,11978.4371190239,10700.788635604,9565.71287943771,10499.3039769266,10353.4590413288,10028.4308610235,9524.40792528978,9169.92957370444,11129.0136188223,9463.62375037712
11834.3149420689,10363.9859365974,10948.153602778,12305.3966838747,11651.921333489,11001.5028148336,10463.7524237638,11992.5549557863,10708.5846068225,9582.25842361891,10530.534777212,10361.8471217292,10045.8834505945,9544.74531121992,9181.11919375059,11143.5834919241,9474.60149241824
11869.4806447151,10390.3506272526,10981.7550952174,12336.226105905,11670.9246670327,11032.1726192406,10491.4831976854,12027.7570295127,10740.8441247761,9598.0468363724,10544.4849761171,10381.2492634494,10060.9339050921,9557.67193785643,9179.21584876853,11180.8028157116,9498.76698918348
